"","date","NL_travel","NS_travel","NB_travel","PEI_travel","BC_active","AB_active","SK_active","MB_active","ON_active","QC_active","NB_active","NS_active"
"140",2020-11-17,1,0,0,0,13.3270874310771,22.7194054141146,17.4304541841996,51.4311318685535,8.80318489242573,14.0488171042862,0.408082065303333,0.244396198824454
"141",2020-11-18,1,0,0,0,13.9196606298433,22.6945828615168,17.8036609891168,53.4579745037674,8.73001133986805,13.8681511579522,0.510102581629166,0.244396198824454
"142",2020-11-19,0,0,0,0,14.3902334641577,23.427976460999,17.5237558854289,55.2242230858824,8.59856995842184,13.8658199844511,0.548360275251353,0.234213023873435
"143",2020-11-20,1,0,0,0,14.8453141887005,24.0440270845641,18.193831739712,56.9036069836311,8.59518229395158,13.51964071954,0.650380791577186,0.28512889862853
"144",2020-11-21,0,0,0,0,16.2260484721004,25.4408598171165,21.5187650926104,57.9966542619072,8.73339900433831,13.2270784451539,0.905432082391769,0.336044773383625
"145",2020-11-22,1,0,0,0,17.4383060617333,27.5191844482646,22.7571331271083,58.7929138685983,8.7964095634852,12.9706493600346,0.981947469636144,0.448059697844833
"146",2020-11-23,1,0,0,1,15.472744634453,29.7103388639485,24.2923702109721,61.5146739787428,8.85670999105589,12.8179574957136,1.13497824412489,0.519341922501965
"147",2020-11-24,0,0,0,0,16.2376675544291,30.1232958753493,24.8267344998308,62.8104055205402,8.79844216216736,12.610483054117,1.18598850228781,0.885936220738647
"148",2020-11-25,0,0,1,1,17.2369086347017,30.9582362809137,25.547702191148,63.3967421400128,8.7049426227881,12.7794931329457,1.19874106682854,1.03868384500393
"149",2020-11-26,2,0,0,0,18.573103102508,31.7096826459216,26.6842865515776,64.0265111016686,8.76863071482905,13.3529618142125,1.33901927677656,1.16088194441616
"150",2020-11-27,2,0,2,0,17.7868785315959,32.0820209348895,27.6766773737437,64.1712855756124,9.02948087903931,13.3482994672103,1.45379235764312,1.21179781917125
"151",2020-11-28,1,0,0,1,19.2102161168678,33.6932302580598,28.1771137712463,65.3222426434661,9.22393281963241,13.6560143693535,1.41553466402093,1.27289686887737
"152",2020-11-29,2,0,1,0,21.1293012148332,35.4104995786936,30.5775120846908,66.3935737506506,9.38721824709909,13.9765507257526,1.51755518034677,1.27289686887737
"153",2020-11-30,0,0,1,0,18.7570719060466,37.1300254950181,32.9015726425841,67.0305814360035,9.67110452970714,14.1478919780823,1.5303077448875,1.40527814324061
"154",2020-12-01,1,0,0,0,18.712532090453,37.5226731452025,32.3926542722425,65.6262690387482,9.89265778606235,14.2947559086506,1.47929748672458,1.44601084304469
"155",2020-12-02,0,1,0,0,19.0456124505439,38.6870765216112,33.6734321709355,64.9313515638177,9.89401285185045,14.8495752019088,1.51755518034677,1.2932632187794
"156",2020-12-03,0,0,0,1,19.388375379242,40.0387773403492,34.0636029215307,66.0895473553685,10.0762692003506,15.3834139336571,1.41553466402093,1.21179781917125
"157",2020-12-04,1,1,0,0,19.3302799675983,41.1670751857065,34.9033182325944,66.3935737506506,10.2138083778433,15.3216378358784,1.41553466402093,1.19143146926921
"158",2020-12-05,1,0,0,0,20.5483470983956,42.4375385595789,35.5394661955213,65.9809664999106,10.3608330158527,16.1422109082602,1.24975132499146,0.967401620346798
"159",2020-12-06,3,1,0,0,21.9348909229599,43.9675104378834,38.5844944447319,66.7120775933271,10.5884840682544,16.6981957882688,1.04571029233979,0.896119395689666
"160",2020-12-07,0,2,0,0,20.0196788524375,45.28310572557,40.3911546594446,39.537908834066,10.9191201205521,17.0198977314185,1.03295772779906,0.916485745591704
"161",2020-12-08,1,1,1,0,19.90348802915,46.0074729422894,39.5429573755419,38.937094767199,10.9990690020503,17.3136255925552,1.04571029233979,0.794287646179476
"162",2020-12-09,1,1,1,0,20.0041867426658,45.5809763567443,39.9161641804591,38.7126943325861,10.957061962619,17.9815068006159,0.943689776013956,0.723005421522344
"163",2020-12-10,0,1,0,0,20.3818069183502,45.4997389118786,39.7041148594834,38.9443334908962,11.0559817651507,18.6703685701864,0.956442340554686,0.651723196865211
"164",2020-12-11,0,1,2,0,20.528981961181,45.4952257204972,38.5505665533758,39.9360386374116,11.0898584098533,18.5817839771452,0.994700034176873,0.66190637181623
"165",2020-12-12,2,3,0,3,21.8264461545582,45.2943887040236,34.7336787758138,40.7540144151944,11.0485289033161,18.8545312767721,0.918184646932498,0.621173672012155
"166",2020-12-13,0,2,0,0,23.1335929165426,46.4001205924737,35.5055383041652,41.4634093375192,11.0376883770113,19.2986198287287,0.828916695147394,0.600807322110117
"167",2020-12-14,1,1,0,0,21.4740006572528,47.6660707749646,37.1340770892583,41.9194489304424,11.2971834754334,19.4151785037829,0.765153872443748,0.580440972208079
"168",2020-12-15,1,0,0,0,21.1641584618194,46.5964444175659,35.6412498695897,41.7095259432238,11.600040679075,19.5946788633664,0.612123097954999,0.580440972208079
"169",2020-12-16,5,0,1,0,21.369428916294,45.5132784860229,35.7175876251409,41.9628812726255,11.6366274553538,20.2718847654315,0.663133356117915,0.560074622306041
"170",2020-12-17,2,3,0,1,21.4953023081888,44.8272733960456,33.7243240079697,42.1945204309357,11.9083181458689,20.8185449514358,0.714143614280832,0.509158747550946
"171",2020-12-18,4,0,0,0,21.4701276298098,44.2450717078413,31.6716865809252,40.551330151673,12.0837991654285,20.6681842606159,0.675885920658645,0.47860922269789
"172",2020-12-19,8,2,0,1,22.6785121919999,43.4620330031633,31.8922178747399,41.0290859156877,12.398851961163,20.8395255129456,0.58661796887354,0.448059697844833
"173",2020-12-20,2,1,0,0,23.6041657508571,43.3288938574111,32.8930906697451,41.6154225351603,12.6441188688101,21.2195067936224,0.58661796887354,0.417510172991776
"174",2020-12-21,0,0,0,0,21.0053643366598,43.2476564125454,33.826107682038,41.5213191270968,12.9510412698159,21.5144002415096,0.624875662495728,0.386960648138719
"175",2020-12-22,1,0,0,0,20.6025694825965,41.3205236926751,33.4529008771208,31.720087241098,13.1414280130447,21.9235211909499,0.59937053341427,0.407326998040757
"176",2020-12-23,1,0,4,0,19.9054245428714,40.214791804225,32.6471134574133,32.0458298074717,13.2274746905894,22.5902368122601,0.59937053341427,0.356411123285662
"177",2020-12-24,0,1,0,3,19.3980579478493,42.4194857940531,28.3721991465439,32.4946306766976,13.4890023876937,23.0296630172145,0.573865404332811,0.366594298236681
"178",2020-12-25,0,0,1,0,20.3411401301996,45.0664725392614,30.314570926681,32.4946306766976,14.9233395244031,23.0296630172145,0.561112839792082,0.366594298236681
"179",2020-12-26,0,0,2,0,21.1796505715911,47.0906388738324,31.4341913414325,32.4946306766976,13.5371072231714,28.1512511990974,0.497350017088436,0.366594298236681
"180",2020-12-27,2,0,0,0,21.973621197389,48.0654882122211,28.8132617341733,32.4873919530004,13.5262666968666,23.8583951968501,0.44633975892552,0.366594298236681
"181",2020-12-28,2,0,0,0,22.8063220976162,34.9478974620971,29.6105671810418,32.1544106629296,13.3582385391415,24.2488667582818,0.433587194384791,0.336044773383625
"182",2020-12-29,0,1,0,2,16.9599871725331,33.3637672872154,27.0574933564948,32.0241136363801,13.5472702165822,24.6241856919564,0.408082065303333,0.305495248530568
"183",2020-12-30,0,0,0,0,16.8980187334464,32.8447502783511,25.0048559294503,32.1688881103239,13.9991846569153,25.19066085272,0.357071807140416,0.254579373775473
"184",2020-12-31,0,2,0,0,17.3550359717106,35.5526651072086,22.8843627196937,32.6104502558527,14.7187245903992,26.0718444361299,0.369824371681145,0.224029848922416
"185",2021-01-01,0,3,0,0,18.4491662243347,38.6825633302298,25.3017249788163,32.6104502558527,14.6963660048954,29.2457371578566,0.318814113518229,0.336044773383625
"186",2021-01-02,0,2,0,0,19.6246300532599,40.7879671096665,22.994628366601,33.0013413355011,15.553445115872,31.53145277567,0.44633975892552,0.315678423481587
"187",2021-01-03,0,1,0,0,20.5928869139892,41.8237445317045,24.0718389171574,32.2919464131762,16.0717577798223,26.2268674739521,0.535607710710624,0.295312073579549
"188",2021-01-04,1,1,0,0,15.5424591284255,31.2290277637994,25.6749317837334,32.0168749126829,16.8637937329698,27.1185413381169,0.714143614280832,0.274945723677511
"189",2021-01-05,1,1,0,1,14.8646793259151,30.2632048081736,25.9293909689042,32.0458298074717,17.7378111662977,28.3412418394358,1.03295772779906,0.19348032406936
"190",2021-01-06,0,4,0,4,14.6477897891117,30.3512120401114,24.5383474233039,32.2340366235987,18.0420234357273,28.6815931705941,1.41553466402093,0.295312073579549
"191",2021-01-07,0,1,0,1,14.8549967573078,30.0082094951228,25.0048559294503,32.6104502558527,18.4851299484377,29.0942108802861,1.67058595483552,0.274945723677511
"192",2021-01-08,0,2,0,0,14.4057255739294,30.7528860730586,25.9039450503872,33.1678319805365,19.1877315595703,28.6303073535702,1.836369293865,0.28512889862853
"193",2021-01-09,0,1,0,0,15.426268305138,32.5784719868468,27.0574933564948,33.7614073237063,19.519045144762,28.6815931705941,2.19344110100541,0.305495248530568
"194",2021-01-10,1,0,0,0,16.3964616795887,31.8541047701274,29.6614590180759,34.2319243640238,20.4594608017071,28.5242389592709,2.35922444003489,0.28512889862853
"195",2021-01-11,0,4,0,0,12.6957839578816,31.4050422276752,31.7140964451204,24.6985252548212,20.8348140250122,27.9938969877742,2.61427573084947,0.264762548726492
"196",2021-01-12,0,0,0,1,12.3743226801195,29.8321950312471,31.8582899833838,22.4183272902055,20.5028229069264,27.8854974199737,2.80556419896041,0.274945723677511
"197",2021-01-13,0,5,0,0,11.9056863595266,28.9701754773941,31.8243620920277,21.1805055379856,20.162023861218,27.6418897891104,2.94584240890843,0.305495248530568
"198",2021-01-14,1,2,0,1,11.5513043484997,28.0585108183454,32.7658610771597,20.8909565900979,19.9391155390746,27.0532684800865,3.1498834415601,0.325861598432606
"199",2021-01-15,1,0,0,0,11.5319392112851,27.5056448741203,34.0127110844966,21.0284923403445,19.6125446841413,25.4948789946115,3.27740908696739,0.325861598432606
"200",2021-01-16,0,3,0,0,12.629942491352,28.6881010160548,34.2926161881844,21.6148289598171,19.4736504408605,25.177839398464,3.41768729691541,0.305495248530568
"201",2021-01-17,1,3,0,0,13.4742624739079,27.6071916802025,34.9542100696285,22.3025077110504,19.660649519619,24.3036493355573,3.73650141043364,0.28512889862853
"202",2021-01-18,0,0,0,3,11.0633028906921,26.9053904203902,36.1756141584483,22.4979532508746,19.4763605724367,23.2371374588111,3.88953218492239,0.254579373775473
"203",2021-01-19,0,3,0,1,11.0826680279067,25.0391857841693,35.2510791189944,22.3531787769308,18.7961175468079,22.1659632350627,4.04256295941114,0.224029848922416
