"","REPORTED_DATE","TOTAL","TRAVEL","CLOSE_CONTACT","COMMUNITY"
"378",2022-01-18,465,0,0,465
"379",2022-01-19,391,0,0,391
"380",2022-01-20,328,0,0,328
"381",2022-01-21,300,0,0,300
"382",2022-01-22,309,0,0,309
"383",2022-01-23,352,0,0,352
"384",2022-01-24,289,0,0,289
"385",2022-01-25,277,0,0,277
"386",2022-01-26,378,0,0,378
"387",2022-01-27,323,0,0,323
"388",2022-01-28,218,0,0,218
"389",2022-01-29,181,0,0,181
"390",2022-01-30,215,0,0,215
"391",2022-01-31,161,0,0,161
"392",2022-02-01,232,0,0,232
"393",2022-02-02,212,0,0,212
"394",2022-02-03,226,0,0,226
"395",2022-02-04,268,0,0,268
"396",2022-02-05,71,0,0,71
"397",2022-02-06,188,0,0,188
"398",2022-02-07,162,0,0,162
"399",2022-02-08,300,0,0,300
"400",2022-02-09,204,0,0,204
"401",2022-02-10,292,0,0,292
"402",2022-02-11,205,0,0,205
"403",2022-02-12,265,0,0,265
"404",2022-02-13,167,0,0,167
"405",2022-02-14,181,0,0,181
"406",2022-02-15,169,0,0,169
"407",2022-02-16,306,0,0,306
"408",2022-02-17,231,0,0,231
"409",2022-02-18,238,0,0,238
"410",2022-02-19,191,0,0,191
"411",2022-02-20,268,0,0,268
"412",2022-02-21,181,0,0,181
"413",2022-02-22,291,0,0,291
"414",2022-02-23,262,0,0,262
"415",2022-02-24,343,0,0,343
"416",2022-02-25,309,0,0,309
"417",2022-02-26,233,0,0,233
"418",2022-02-27,272,0,0,272
"419",2022-02-28,345,0,0,345
"420",2022-03-01,384,0,0,384
"421",2022-03-02,406,0,0,406
"422",2022-03-03,501,0,0,501
"423",2022-03-04,464,0,0,464
"424",2022-03-05,371,0,0,371
"425",2022-03-06,387,0,0,387
"426",2022-03-07,420,0,0,420
"427",2022-03-08,660,0,0,660
"428",2022-03-09,649,0,0,649
"429",2022-03-10,584,0,0,584
"430",2022-03-11,611,0,0,611
"431",2022-03-12,348,0,0,348
"432",2022-03-13,438,0,0,438
"433",2022-03-14,500,1,0,499
"434",2022-03-15,602,0,0,602
"435",2022-03-16,574,0,0,574
"436",2022-03-17,635,0,0,635
"437",2022-03-18,499,0,0,499
"438",2022-03-19,344,0,0,344
"439",2022-03-20,378,0,0,378
